,instruction,input,output
0,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any taxes applicable on this account?,Zakat and taxes are applicable as per law.
Có bất kỳ loại thuế nào áp dụng cho tài khoản này không?,Zakat và các loại thuế được áp dụng theo quy định của pháp luật.
Các tính năng nổi bật của Tài khoản NUST Waqaar là gì?,"• Tiết kiệm: Độ tuổi tối thiểu để đủ điều kiện: 55 tuổi, Cách tính lợi nhuận: Số dư trung bình hàng tháng, Tần suất chi trả lợi nhuận: Hàng tháng, Phát hành Thẻ ghi nợ & Sổ séc theo SOC hiện hành (đối với tài khoản được liên kết), Loại tiền: PKR. • Tiền gửi có kỳ hạn: Thời hạn: 1 Năm, Lãi suất: 0.1675, Tần suất chi trả lợi nhuận: Hàng tháng, Phát hành Thẻ ghi nợ & Sổ séc theo SOC hiện hành."
Thời hạn tối đa trong PMYB & ALS là bao lâu?,Khoản vay dài hạn: Tối đa 8 năm (Thời gian ân hạn tối đa 1 năm). Khoản vay vốn lưu động: Tối đa 05 năm (Thời gian ân hạn tối đa 2 năm). Lãi suất sẽ được thu trong thời gian ân hạn.
Các khoản phí dịch vụ/tài liệu/pháp lý trong Tài chính Xay xát Bột mì NUST là bao nhiêu?,Theo thực tế.
Tài khoản NUST Waqaar là gì?,"Tài khoản NUST Waqaar là một loại tài khoản do Ngân hàng NUST cung cấp, được thiết kế riêng để đưa ra các giải pháp ngân hàng cụ thể, mang đến những tính năng phù hợp với nhu cầu của khách hàng về tiết kiệm và giao dịch."
Giờ làm việc ngân hàng của NUST để sử dụng dịch vụ chuyển tiền kiều hối từ các Chi nhánh NUST là khi nào?,"Khách hàng có thể sử dụng dịch vụ chuyển tiền kiều hối từ các chi nhánh nội địa của NUST trong giờ làm việc thông thường:
• Thứ Hai đến Thứ Năm: 09:00 sáng đến 05:00 chiều
• Thứ Sáu: 09:00 sáng đến 05:30 chiều
• Thứ Bảy: 09:00 sáng đến 01:30 chiều (thông qua các chi nhánh được chọn)"
Ngân hàng NUST có đang cung cấp Tài khoản Ngân hàng Kỹ thuật số đơn giản không?,"Có, Tài khoản Kỹ thuật số Asaan của NUST đang được cung cấp."
Ngân hàng NUST có đang cung cấp sản phẩm tài chính nào liên quan đến các giải pháp năng lượng tái tạo/thay thế không?,"Ngân hàng NUST đã xây dựng một sản phẩm tài chính mới với tên gọi 'Tài chính NUST Ujala' theo chương trình tái cấp vốn của Ngân hàng Nhà nước Pakistan (SBP), trong phạm vi dành cho Doanh nghiệp vừa và nhỏ (SME). Chương trình Sản phẩm được phát triển nhằm cung cấp tài chính cho việc lắp đặt thiết bị năng lượng mặt trời như một nguồn năng lượng thay thế."
Có phí phạt rút tiền trước hạn trong Tiền gửi có kỳ hạn NUST Maximiser không?,"Việc rút tiền Tiền gửi có kỳ hạn NUST Maximiser trước ngày đáo hạn sẽ chịu phí phạt rút tiền trước hạn như sau: Số tiền gốc x 1,5% mỗi năm trên thời gian còn lại của Tiền gửi có kỳ hạn. (Ví dụ: nếu một giao dịch được đặt cho 5 năm nhưng rút sau 2 năm – phí phạt/chi phí sẽ là 4,5% x Số tiền gốc). Mức phí phạt/chi phí tối thiểu là 1,5% số tiền gốc. Số tiền phạt sẽ chỉ trong phạm vi lợi nhuận đã trả/ có thể trả."
Thời hạn tối đa tại NUST Hunarmand Finance là bao lâu?,Khoản vay dài hạn: Tối đa 8 năm (Thời gian ân hạn tối đa 1 năm). Khoản vay vốn lưu động: Tối đa 5 năm (Thời gian ân hạn tối đa 2 năm). Lãi suất sẽ được thu trong thời gian ân hạn.
Thị trường mục tiêu là gì?,Cá nhân điều hành doanh nghiệp dịch vụ tự do
Tỷ lệ lợi nhuận cho Tài khoản NUST Waqaar - Công dân Cao tuổi là bao nhiêu?,Thanh toán lợi nhuận: Hàng tháng. Tỷ lệ lợi nhuận: 0.19.
Phí định giá/BOQ là gì?,Tính theo thực tế.
Hạn mức cho vay của PMYB & ALS là gì?,"Bậc 2: Trên 0,5 triệu Rupee và lên đến 1,5 triệu Rupee. Bậc 3: Trên 1,5 triệu Rupee và lên đến 7,5 triệu Rupee."
Ai đủ điều kiện mở tài khoản này?,"Đối tượng đủ điều kiện mở Tài khoản Số Asaan của NUST bao gồm: Lực lượng lao động có tay nghề/không có tay nghề, Người ít học/không biết chữ, Nông dân, Công nhân/Lao động theo ngày, Phụ nữ/Nội trợ, Cá nhân tự kinh doanh và Thanh niên."
Ngân hàng NUST có cung cấp tài khoản nào mang lại lợi nhuận hấp dẫn cho khoản tiết kiệm của tôi không?,Tài khoản Tiền gửi Đặc biệt NUST (ASDA) được thiết kế đặc biệt cho các khách hàng có số dư lớn để đáp ứng nhu cầu giao dịch và tiết kiệm của họ.
Bản chất của khoản vay được cho phép tại Quỹ Tài chính Hunarmand NUST?,• Khoản vay dài hạn / Khoản vay Phát triển • Khoản vay Vốn lưu động / Sản xuất.
Cơ cấu pháp lý của doanh nghiệp nên như thế nào để được hưởng Tài chính NUST Imarat?,"Chủ sở hữu duy nhất, Công ty hợp danh (đã đăng ký), Công ty trách nhiệm hữu hạn tư nhân, Công ty trách nhiệm hữu hạn."
Thời hạn tài trợ là bao lâu?,Thời hạn vay tối thiểu là 3 năm và tối đa là 25 năm.
Tôi có thể sử dụng Dịch vụ Cho vay nếu có khoản nợ quá hạn từ các khoản vay trước đó không?,Không. Việc thanh toán đều đặn các khoản vay trước đó là điều bắt buộc.
Chuyển tiền kiều hối là gì?,"Dịch vụ Chuyển tiền kiều hối cho phép người gửi chuyển tiền từ nước ngoài về Pakistan ngay lập tức, thuận tiện và an toàn thông qua kênh ngân hàng hợp pháp."
Ai sẽ bảo hiểm xe của tôi?,"Ngân hàng NUST có thỏa thuận bảo hiểm với các công ty bảo hiểm uy tín với mức phí bảo hiểm hấp dẫn, Miễn phí định vị và Bảo hiểm tử vong do tai nạn miễn phí lên đến 1 triệu Rs. Khách hàng phải chọn một công ty bảo hiểm theo ý muốn của họ từ Danh sách các công ty bảo hiểm của NUST."
Ai có thể mở Tài khoản Chuyển tiền Pak Wattan?,Người nhận chuyển tiền hợp pháp (PRI) có thể mở tài khoản này.
Bản chất của tài chính tại NUST Sahar Finance là gì?,i. Tài chính Dài hạn ii. Tài chính Ngắn hạn/Vốn lưu động
Mức tỷ lệ Mark-up hiện tại của Tài chính Nhà máy Bột mì NUST là gì?,"Tài chính Tiền mặt: KIBOR trung bình 3 tháng + 3% mỗi năm. Tài chính Hoạt động: KIBOR trung bình 3 tháng + 3,5% mỗi năm (được xem xét/điều chỉnh hàng quý)."
Loại tài khoản của NUST Freelancer Digital Account là gì? Là tài khoản vãng lai hay tiết kiệm?,"NUST Freelancer Digital Account cung cấp tài khoản vãng lai bằng PKR và FCY (USD, GBP, EUR, AED)."
Yêu cầu số dư mở và duy trì tối thiểu cho VPCA là gì?,"Không yêu cầu số dư mở tài khoản. Không yêu cầu số dư trung bình tối thiểu hàng tháng. Phân bổ tủ gửi đồ (khi có sẵn) khi duy trì số dư trung bình tối thiểu hàng tháng là Rs. 50,000."
Tôi có thể thế chấp tài sản sở hữu của mình để vay vốn không?,"Có, mục đích vay vốn phải phù hợp với mục đích được cơ quan quản lý quy định, bao gồm: Vay để xây dựng nhà trên lô đất ở thuộc sở hữu, Dịch vụ Chuyển khoản Dư nợ (BTF) để thay thế khoản vay hiện có của khách hàng từ các ngân hàng/Tổ chức Tài chính Phát triển (DFIs) khác, Cải tạo nhà/chung cư/căn hộ/đơn vị nhà ở thuộc sở hữu, Mở rộng/Cải thiện Đơn vị Nhà ở."
Ngân hàng NUST có cung cấp tài khoản nào mang lại lợi nhuận hấp dẫn cho khoản tiết kiệm của tôi không?,Tài khoản Tiền gửi Đặc biệt NUST (ASDA) được thiết kế đặc biệt cho các khách hàng có số dư lớn để đáp ứng nhu cầu giao dịch và tiết kiệm của họ.
Tỷ giá chuyển đổi nào sẽ được áp dụng khi chuyển tiền?,Tỷ giá chuyển đổi tương tự sẽ được áp dụng tại thời điểm gửi tiền. Ngân hàng liên kết hoặc Công ty chuyển đổi ngoại tệ xác nhận tỷ giá chuyển đổi với người gửi tại thời điểm chuyển tiền.
Có giới hạn nào đối với chi tiêu quốc tế không?,"Theo chỉ thị của Ngân hàng Nhà nước (SBP) có hiệu lực từ ngày 1 tháng 11 năm 2022, giới hạn tối đa hàng năm trên toàn ngành là 30.000 USD/người đối với các giao dịch xuyên biên giới dựa trên thẻ (thẻ ghi nợ/thẻ tín dụng và thẻ ảo). Đây là trách nhiệm chính của khách hàng để đảm bảo rằng giới hạn hàng năm của mình không bị vượt quá bất cứ lúc nào. Để tránh bất kỳ sự bất tiện nào, Quý khách được đề nghị vui lòng hạn chế chi tiêu quốc tế trong giới hạn đã quy định. Các khoản thanh toán thương mại xuyên biên giới qua thẻ phát hành cho cá nhân là không được phép. Lưu ý: Ngân hàng NUST có quyền từ chối bất kỳ đơn đăng ký nào theo tiêu chí của Ngân hàng."
EFU Life Bancassurance Policy là gì?,"EFU Life Bancassurance Policy là sản phẩm bảo hiểm được cung cấp thông qua Ngân hàng NUST hợp tác với Công ty Bảo hiểm Nhân thọ EFU, mang đến các giải pháp bảo hiểm nhân thọ đa dạng."
Tiêu chí tuổi tối đa để đăng ký Tài chính Thế chấp NUST là gì?,"Nhân viên biên chế: 60 tuổi tại thời điểm đáo hạn khoản vay, Nhân viên hợp đồng: 65 tuổi tại thời điểm đáo hạn khoản vay, Người hưởng lương hưu: 65 tuổi tại thời điểm đáo hạn khoản vay, Tự kinh doanh/Tự hành nghề (SEB/SEP): 65 tuổi tại thời điểm đáo hạn khoản vay."
Số tiền tài trợ tối thiểu và tối đa là bao nhiêu?,"Số tiền tài trợ tối thiểu là Rs. 50,000 (Rs. 35,000 dành cho JCOs đã nghỉ hưu & Hạ tầng - Phụ thuộc vào lương hưu với NUST). Tài trợ tối đa lên đến Rs. 3,000,000 (Đối với khách hàng không phải prime) và lên đến Rs. 4,000,000 (Đối với khách hàng prime). Giới hạn tài trợ tối đa sẽ lên đến 40% Tỷ lệ Gánh nặng Nợ và theo quy định của SBP PR."
Các tính năng chính của các Gói Bảo hiểm Nhân thọ Jubilee này là gì?,"- Thời gian Xem xét Miễn phí 14 ngày bắt đầu từ ngày khách hàng nhận được Tài liệu Chính sách.
- Hệ thống tăng trưởng Liên kết Đơn vị (JLI phân bổ các đơn vị Quỹ tương hỗ cho khách hàng, sự tăng trưởng của hợp đồng phụ thuộc vào sự tăng trưởng của tỷ lệ đơn vị, giống như thị trường chứng khoán).
- Ngân hàng NUST chỉ đóng vai trò là Đại lý Bán hàng Doanh nghiệp, đây là một kế hoạch bảo hiểm không được coi là bất kỳ tài khoản hoặc tiền gửi kỳ hạn nào có lợi nhuận hàng năm cố định.
- Trong trường hợp chấm dứt hợp đồng sớm, chỉ Giá trị Tiền mặt của hợp đồng sẽ được thanh toán cho khách hàng (tỷ lệ thị trường hiện tại của các đơn vị Quỹ tương hỗ sẽ được hoàn trả).
- Việc hủy bỏ hợp đồng và tùy chọn hoàn tiền đầy đủ có sẵn nếu tài liệu chính sách được trả lại trong Thời gian Xem xét Miễn phí (14 ngày kể từ khi nhận được tài liệu).
- Giá trị Tiền mặt của hợp đồng có thể khác với lợi nhuận dự kiến được cung cấp trong tài liệu minh họa (tài liệu minh họa chỉ mang tính chất tham khảo)."
Tỷ lệ lợi nhuận cho Tài khoản Asaan của NUST là bao nhiêu?,Chi trả lợi nhuận: Nửa năm một lần. Tỷ lệ lợi nhuận: 0.19.
Các khoản phí dịch vụ/tài liệu/pháp lý trong Tài chính Xay xát Bột mì NUST là gì?,Theo thực tế.
Hình thức trả nợ là gì?,"Khoản thanh toán trả góp hàng tháng (EMI) bao gồm tiền gốc, phí đánh dấu và chi phí bảo hiểm, v.v. sẽ được thực hiện thông qua Ủy quyền Ghi nợ Trực tiếp (DDA) từ tài khoản của người vay được duy trì tại NUST."
Có giới hạn nào về số tiền nhận được thông qua Dịch vụ Chuyển tiền NUST không?,"Dưới đây là các giới hạn áp dụng:
• Tài khoản NUST - Không giới hạn
• Tài khoản ngân hàng khác - Không giới hạn
• Giao dịch tiền mặt tại quầy (CoC) - Lên đến 1.000.000 PKR mỗi giao dịch và không giới hạn số lượng giao dịch Western Union COC"
Ngân hàng NUST có cung cấp tài khoản nào cho mục đích nhận kiều hối không?,"Có, Tài khoản Nhận Kiều hối PakWatan. Thông qua Tài khoản Nhận Kiều hối PakWatan, người thụ hưởng có thể nhanh chóng và an toàn nhận kiều hối từ người thân đang sinh sống ở nước ngoài trực tiếp vào tài khoản ngân hàng của mình mà không cần phải đến chi nhánh."
Bancassurance được cung cấp bởi ba công ty cung cấp bảo hiểm sau:,"• Công ty TNHH Bảo hiểm Nhân thọ NUST
• Công ty TNHH Bảo hiểm Nhân thọ EFU
• Công ty TNHH Bảo hiểm Nhân thọ Jubilee."
Yêu cầu bảo đảm an ninh để được hưởng PMYB & ALS là gì?,"Bậc 2: i. Sạch; bảo lãnh cá nhân của người vay. ii. 02 Séc ngày sau cho số tiền trả góp. iii. 01 Séc ngày sau cho toàn bộ số tiền vay cộng với phần lãi suất theo lịch trình khấu hao. Bậc 3: i. Thế chấp tài sản nhà ở/thương mại/công nghiệp do người vay hoặc bên thứ ba sở hữu. ii. HPA trên phương tiện mang tên người vay hoặc thành viên gia đình ruột thịt. iii. Tài sản bảo đảm thanh khoản (lien trên tiền gửi, Chứng chỉ tiết kiệm, TDRs, v.v.)."
Ngân hàng có yêu cầu vốn chủ sở hữu cho chương trình này không?,Hạng 2: 10% (Kinh doanh mới). Hạng 3: 20% (Kinh doanh mới). Kinh doanh hiện tại: Không.
Điều gì xảy ra nếu tôi không thực hiện được nghĩa vụ thanh toán?,"Trong trường hợp quá hạn/vi phạm thanh toán, bộ phận thu hồi của NUST sẽ liên hệ với bạn, thông tin khoản vay của bạn sẽ được báo cáo cho Cục Tín dụng. Khoản phí trả chậm sẽ được áp dụng theo biểu phí hiện hành. Ngân hàng cũng có thể khởi động các thủ tục pháp lý."
Có bất kỳ lợi ích nào khác khi mở Tài khoản Chuyển tiền PakWatan không?,"• Miễn thuế WHT (thuế khấu trừ tại nguồn) khi rút tiền mặt đối với các khoản kiều hối nhận được từ nước ngoài. • Khách hàng cũng có thể đủ điều kiện nhận Tài chính Cá nhân, Thẻ Tín dụng và Tài chính Ô tô sau sáu tháng duy trì Tài khoản Chuyển tiền PakWatan, tùy thuộc vào các tiêu chí đủ điều kiện của ngân hàng."
Các tính năng chính của Tài khoản Chia sẻ Lợi nhuận và Thua lỗ (PLS) của NUST là gì?,"Được cung cấp bằng nội tệ (PKR) & ngoại tệ (USD, GBP, EUR, JPY & AED). Tiền gửi mở tài khoản là 100 Rs. cho nội tệ, 500 USD hoặc tương đương cho ngoại tệ. Phát hành thẻ ghi nợ đối với tài khoản nội tệ. Cách tính lợi nhuận: Theo số dư trung bình hàng tháng. Tần suất chi trả lợi nhuận: Nửa năm một lần. Tỷ lệ lợi nhuận: 0,19% cho nội tệ, 0,1925% cho Tài khoản Hưu trí PLS."
Tỷ lệ lợi nhuận cho Tài khoản Tiền gửi Đặc biệt NUST (ASDA) là bao nhiêu?,Thanh toán lợi nhuận: Hàng tháng / Nửa năm. Tỷ lệ lợi nhuận: 0.19.
Tỷ lệ Mark-up hiện tại của Ask Fauri Business Finance là bao nhiêu?,"AFBF-1: 3MK /COD +1.50%, AFBF-2: 12 MK /COD +2.0%, AFBF-3: Theo SOC, AFBF-4: Theo SOC."
Tôi có thể nhận kiều hối tại Pakistan nếu không có tài khoản ngân hàng ở bất kỳ ngân hàng nào không?,Bạn có thể nhận kiều hối của mình từ bất kỳ chi nhánh nào trong số 600+ chi nhánh trong nước của NUST trên toàn quốc nếu bạn có CNIC hợp lệ và Mã số tham chiếu giao dịch duy nhất / Mã pin.
Ngân hàng của bạn có cung cấp tài khoản nào cho người cao tuổi không?,"Tài khoản NUST Waqaar được phát triển dành cho người cao tuổi, cho phép họ thực hiện các giao dịch ngân hàng và đồng thời tận dụng các cơ hội đầu tư."
Tài khoản Roshan Digital có yêu cầu số dư tối thiểu không?,Không yêu cầu tiền gửi ban đầu. Không yêu cầu số dư tối thiểu.
Yêu cầu tiền gửi ban đầu của Tài khoản Vãng lai NUST Sahar Asaan là gì?,Chỉ 100 Rs.
